Metric ($B unless noted),2021,2022,2023,2024,2025,2026,6-Yr CAGR
Net Sales ($B),76.1,80.2,82,84,84.3,87,0.027133559569706
Operating Income ($B),18,17.8,18.1,18.5,20.5,19.7,0.0182132500077874
Net Earnings Attrib. to P&G ($B),14.3,14.7,14.7,14.9,16,16,0.0227200943757064
Net Earnings Margin (%),0.189,0.184,0.18,0.178,0.191,0.185,-0.00426909937313369
Diluted EPS ($),5.5,5.81,5.9,6.02,6.51,6.62,0.0377650968724621
Core EPS ($),5.66,5.81,5.9,6.59,6.83,6.89,0.0401130805724208
Operating Cash Flow ($B),18.4,16.7,16.8,19.8,17.8,19.6,0.012715949105691
Dividends per Share ($),3.24,3.52,3.68,3.83,4.08,4.26,0.0562650689989983
